
Cidade: 78859, Zona: 0008, Seção: 0021
,Candidato,Votacao
0,13 WILSON CABELO,11
1,44 GERALDO MENDES,77
2,55 NINA SINGER,155
3,Eleitores Aptos,340
4,Votos nominais,243
5,Votos de legenda,0
6,Votos em branco,8
7,Votos Nulos,17
8,Total Apurado,268

Cidade: 78859, Zona: 0008, Seção: 0184
,Candidato,Votacao
0,13 WILSON CABELO,14
1,44 GERALDO MENDES,92
2,55 NINA SINGER,152
3,Eleitores Aptos,350
4,Votos nominais,258
5,Votos de legenda,0
6,Votos em branco,16
7,Votos Nulos,17
8,Total Apurado,291

Cidade: 78859, Zona: 0008, Seção: 0185
,Candidato,Votacao
0,13 WILSON CABELO,7
1,44 GERALDO MENDES,108
2,55 NINA SINGER,153
3,Eleitores Aptos,387
4,Votos nominais,268
5,Votos de legenda,0
6,Votos em branco,19
7,Votos Nulos,14
8,Total Apurado,301

Cidade: 78859, Zona: 0008, Seção: 0195
,Candidato,Votacao
0,13 WILSON CABELO,9
1,44 GERALDO MENDES,75
2,55 NINA SINGER,128
3,Eleitores Aptos,315
4,Votos nominais,212
5,Votos de legenda,0
6,Votos em branco,19
7,Votos Nulos,21
8,Total Apurado,252

Cidade: 78859, Zona: 0008, Seção: 0196
,Candidato,Votacao
0,13 WILSON CABELO,10
1,44 GERALDO MENDES,121
2,55 NINA SINGER,130
3,Eleitores Aptos,373
4,Votos nominais,261
5,Votos de legenda,0
6,Votos em branco,14
7,Votos Nulos,11
8,Total Apurado,286

Cidade: 78859, Zona: 0008, Seção: 0199
,Candidato,Votacao
0,13 WILSON CABELO,11
1,44 GERALDO MENDES,69
2,55 NINA SINGER,164
3,Eleitores Aptos,322
4,Votos nominais,244
5,Votos de legenda,0
6,Votos em branco,12
7,Votos Nulos,10
8,Total Apurado,266

Cidade: 78859, Zona: 0008, Seção: 0200
,Candidato,Votacao
0,13 WILSON CABELO,12
1,44 GERALDO MENDES,90
2,55 NINA SINGER,122
3,Eleitores Aptos,368
4,Votos nominais,224
5,Votos de legenda,0
6,Votos em branco,19
7,Votos Nulos,18
8,Total Apurado,261

Cidade: 78859, Zona: 0008, Seção: 0202
,Candidato,Votacao
0,13 WILSON CABELO,13
1,44 GERALDO MENDES,98
2,55 NINA SINGER,153
3,Eleitores Aptos,351
4,Votos nominais,264
5,Votos de legenda,0
6,Votos em branco,12
7,Votos Nulos,8
8,Total Apurado,284

Cidade: 78859, Zona: 0008, Seção: 0211
,Candidato,Votacao
0,13 WILSON CABELO,13
1,44 GERALDO MENDES,86
2,55 NINA SINGER,141
3,Eleitores Aptos,335
4,Votos nominais,240
5,Votos de legenda,0
6,Votos em branco,11
7,Votos Nulos,22
8,Total Apurado,273

Cidade: 78859, Zona: 0008, Seção: 0214
,Candidato,Votacao
0,13 WILSON CABELO,12
1,44 GERALDO MENDES,95
2,55 NINA SINGER,152
3,Eleitores Aptos,351
4,Votos nominais,259
5,Votos de legenda,0
6,Votos em branco,8
7,Votos Nulos,19
8,Total Apurado,286

Cidade: 78859, Zona: 0008, Seção: 0222
,Candidato,Votacao
0,Não há votos nominais,1
1,13 WILSON CABELO,6
2,44 GERALDO MENDES,134
3,55 NINA SINGER,137
4,Eleitores Aptos,373
5,Votos nominais,277
6,Votos de legenda,0
7,Votos em branco,11
8,Votos Nulos,16
9,Total Apurado,304

Cidade: 78859, Zona: 0008, Seção: 0227
,Candidato,Votacao
